RefEx Sample ID	Description	Number of samples	Sample type category	Tissue	Sub-region	Sex	Age	UBERON ID	UBERON label
RES00002572	Skin - Not Sun Exposed (Suprapubic), M, 60-69	142	tissues	Skin	Not Sun Exposed (Suprapubic)	M	60-69	UBERON_0036149	suprapubic skin
RES00002573	Minor Salivary Gland, M, 60-69	39	tissues	Minor Salivary Gland		M	60-69	UBERON_0006330	anterior lingual gland
RES00002574	Pituitary, M, 60-69	110	tissues	Pituitary		M	60-69	UBERON_0000007	pituitary gland
RES00002575	Brain - Cortex, M, 60-69	108	tissues	Brain	Cortex	M	60-69	UBERON_0001870	frontal cortex
RES00002576	Brain - Cerebellum, M, 60-69	93	tissues	Brain	Cerebellum	M	60-69	UBERON_0002037	cerebellum
RES00002577	Cells - Cultured fibroblasts, M, 60-69	109	primary cells	Cells	Cultured fibroblasts	M	60-69	EFO_0002009	fibroblast derived cell line
RES00002578	Colon - Transverse, M, 60-69	66	tissues	Colon	Transverse	M	60-69	UBERON_0001157	transverse colon
RES00002579	Adrenal Gland, M, 60-69	45	tissues	Adrenal Gland		M	60-69	UBERON_0002369	adrenal gland
RES00002580	Artery - Aorta, M, 60-69	90	tissues	Artery	Aorta	M	60-69	UBERON_0001496	ascending aorta
RES00002581	Esophagus - Gastroesophageal Junction, M, 60-69	60	tissues	Esophagus	Gastroesophageal Junction	M	60-69	UBERON_0004550	gastroesophageal sphincter
RES00002582	Esophagus - Mucosa, M, 60-69	109	tissues	Esophagus	Mucosa	M	60-69	UBERON_0006920	esophagus squamous epithelium
RES00002583	Esophagus - Muscularis, M, 60-69	99	tissues	Esophagus	Muscularis	M	60-69	UBERON_0004648	esophagus muscularis mucosa
RES00002584	Stomach, M, 60-69	48	tissues	Stomach		M	60-69	UBERON_0000945	stomach
RES00002585	Pancreas, M, 60-69	52	tissues	Pancreas		M	60-69	UBERON_0001150	body of pancreas
RES00002586	Adipose - Visceral (Omentum), M, 60-69	120	tissues	Adipose	Visceral (Omentum)	M	60-69	UBERON_0010414	omental fat pad
RES00002587	Small Intestine - Terminal Ileum, M, 60-69	23	tissues	Small Intestine	Terminal Ileum	M	60-69	UBERON_0001211	Peyer's patch
RES00002588	Colon - Sigmoid, M, 60-69	84	tissues	Colon	Sigmoid	M	60-69	UBERON_0001159	sigmoid colon
RES00002589	Breast - Mammary Tissue, M, 60-69	99	tissues	Breast	Mammary Tissue	M	60-69	UBERON_0008367	breast epithelium
RES00002590	Cells - EBV-transformed lymphocytes, F, 60-69	21	primary cells	Cells	EBV-transformed lymphocytes	F	60-69	EFO_0000572	lymphoblast
RES00002591	Cells - Cultured fibroblasts, F, 60-69	52	primary cells	Cells	Cultured fibroblasts	F	60-69	EFO_0002009	fibroblast derived cell line
RES00002592	Lung, F, 60-69	90	tissues	Lung		F	60-69	UBERON_0008952	upper lobe of left lung
RES00002593	Thyroid, F, 60-69	77	tissues	Thyroid		F	60-69	UBERON_0002046	thyroid gland
RES00002594	Adrenal Gland, F, 60-69	37	tissues	Adrenal Gland		F	60-69	UBERON_0002369	adrenal gland
RES00002595	Spleen, F, 60-69	25	tissues	Spleen		F	60-69	UBERON_0002106	spleen
RES00002596	Pancreas, F, 60-69	35	tissues	Pancreas		F	60-69	UBERON_0001150	body of pancreas
RES00002597	Heart - Left Ventricle, F, 60-69	72	tissues	Heart	Left Ventricle	F	60-69	UBERON_0006566	left ventricle myocardium
RES00002598	Artery - Aorta, F, 60-69	46	tissues	Artery	Aorta	F	60-69	UBERON_0001496	ascending aorta
RES00002599	Small Intestine - Terminal Ileum, F, 60-69	19	tissues	Small Intestine	Terminal Ileum	F	60-69	UBERON_0001211	Peyer's patch
RES00002600	Colon - Sigmoid, F, 60-69	43	tissues	Colon	Sigmoid	F	60-69	UBERON_0001159	sigmoid colon
RES00002601	Colon - Transverse, F, 60-69	38	tissues	Colon	Transverse	F	60-69	UBERON_0001157	transverse colon
RES00002602	Esophagus - Muscularis, F, 60-69	48	tissues	Esophagus	Muscularis	F	60-69	UBERON_0004648	esophagus muscularis mucosa
RES00002603	Esophagus - Mucosa, F, 60-69	65	tissues	Esophagus	Mucosa	F	60-69	UBERON_0006920	esophagus squamous epithelium
RES00002604	Esophagus - Gastroesophageal Junction, F, 60-69	38	tissues	Esophagus	Gastroesophageal Junction	F	60-69	UBERON_0004550	gastroesophageal sphincter
RES00002605	Stomach, F, 60-69	38	tissues	Stomach		F	60-69	UBERON_0000945	stomach
RES00002606	Skin - Sun Exposed (Lower leg), F, 60-69	95	tissues	Skin	Sun Exposed (Lower leg)	F	60-69	UBERON_0004264	lower leg skin
RES00002607	Pituitary, F, 60-69	35	tissues	Pituitary		F	60-69	UBERON_0000007	pituitary gland
RES00002608	Brain - Cerebellum, F, 60-69	53	tissues	Brain	Cerebellum	F	60-69	UBERON_0002037	cerebellum
RES00002609	Whole Blood, F, 50-59	333	tissues	Whole Blood		F	50-59	UBERON_0013756	venous blood
RES00002610	Cells - Cultured fibroblasts, F, 50-59	57	primary cells	Cells	Cultured fibroblasts	F	50-59	EFO_0002009	fibroblast derived cell line
RES00002611	Thyroid, F, 50-59	83	tissues	Thyroid		F	50-59	UBERON_0002046	thyroid gland
RES00002612	Adipose - Visceral (Omentum), F, 50-59	53	tissues	Adipose	Visceral (Omentum)	F	50-59	UBERON_0010414	omental fat pad
RES00002613	Esophagus - Muscularis, F, 50-59	50	tissues	Esophagus	Muscularis	F	50-59	UBERON_0004648	esophagus muscularis mucosa
RES00002614	Esophagus - Gastroesophageal Junction, F, 50-59	42	tissues	Esophagus	Gastroesophageal Junction	F	50-59	UBERON_0004550	gastroesophageal sphincter
RES00002615	Vagina, F, 50-59	52	tissues	Vagina		F	50-59	UBERON_0000996	vagina
RES00002616	Uterus, F, 50-59	49	tissues	Uterus		F	50-59	UBERON_0000995	uterus
RES00002617	Skin - Sun Exposed (Lower leg), F, 50-59	83	tissues	Skin	Sun Exposed (Lower leg)	F	50-59	UBERON_0004264	lower leg skin
RES00002618	Muscle - Skeletal, F, 50-59	116	tissues	Muscle	Skeletal	F	50-59	UBERON_0011907	gastrocnemius medialis
RES00002619	Pituitary, F, 50-59	30	tissues	Pituitary		F	50-59	UBERON_0000007	pituitary gland
RES00002620	Cells - Cultured fibroblasts, M, 50-59	117	primary cells	Cells	Cultured fibroblasts	M	50-59	EFO_0002009	fibroblast derived cell line
RES00002621	Artery - Aorta, M, 50-59	104	tissues	Artery	Aorta	M	50-59	UBERON_0001496	ascending aorta
RES00002622	Heart - Left Ventricle, M, 50-59	168	tissues	Heart	Left Ventricle	M	50-59	UBERON_0006566	left ventricle myocardium
RES00002623	Heart - Atrial Appendage, M, 50-59	115	tissues	Heart	Atrial Appendage	M	50-59	UBERON_0006631	right atrium auricular region
RES00002624	Artery - Tibial, M, 50-59	180	tissues	Artery	Tibial	M	50-59	UBERON_0007610	tibial artery
RES00002625	Pituitary, M, 50-59	61	tissues	Pituitary		M	50-59	UBERON_0000007	pituitary gland
RES00002626	Brain - Cortex, M, 50-59	69	tissues	Brain	Cortex	M	50-59	UBERON_0001870	frontal cortex
RES00002627	Breast - Mammary Tissue, M, 50-59	94	tissues	Breast	Mammary Tissue	M	50-59	UBERON_0008367	breast epithelium
RES00002628	Artery - Coronary, M, 50-59	67	tissues	Artery	Coronary	M	50-59	UBERON_0001621	coronary artery
RES00002629	Brain - Frontal Cortex (BA9), M, 50-59	105	tissues	Brain	Frontal Cortex (BA9)	M	50-59	UBERON_0009834	dorsolateral prefrontal cortex
RES00002630	Brain - Cerebellar Hemisphere, M, 50-59	61	tissues	Brain	Cerebellar Hemisphere	M	50-59	UBERON_0002037	cerebellum
RES00002631	Brain - Caudate (basal ganglia), M, 50-59	68	tissues	Brain	Caudate (basal ganglia)	M	50-59	UBERON_0001873	caudate nucleus
RES00002632	Brain - Nucleus accumbens (basal ganglia), M, 50-59	65	tissues	Brain	Nucleus accumbens (basal ganglia)	M	50-59	UBERON_0001882	nucleus accumbens
RES00002633	Brain - Putamen (basal ganglia), M, 50-59	58	tissues	Brain	Putamen (basal ganglia)	M	50-59	UBERON_0001874	putamen
RES00002634	Brain - Hypothalamus, M, 50-59	55	tissues	Brain	Hypothalamus	M	50-59	UBERON_0001898	hypothalamus
RES00002635	Brain - Spinal cord (cervical c-1), M, 50-59	36	tissues	Brain	Spinal cord (cervical c-1)	M	50-59	UBERON_0006469	C1 segment of cervical spinal cord
RES00002636	Liver, M, 50-59	65	tissues	Liver		M	50-59	UBERON_0001114	right lobe of liver
RES00002637	Minor Salivary Gland, M, 50-59	43	tissues	Minor Salivary Gland		M	50-59	UBERON_0006330	anterior lingual gland
RES00002638	Brain - Cerebellum, M, 50-59	66	tissues	Brain	Cerebellum	M	50-59	UBERON_0002037	cerebellum
RES00002639	Whole Blood, M, 40-49	303	tissues	Whole Blood		M	40-49	UBERON_0013756	venous blood
RES00002640	Cells - Cultured fibroblasts, M, 40-49	53	primary cells	Cells	Cultured fibroblasts	M	40-49	EFO_0002009	fibroblast derived cell line
RES00002641	Brain - Frontal Cortex (BA9), M, 40-49	30	tissues	Brain	Frontal Cortex (BA9)	M	40-49	UBERON_0009834	dorsolateral prefrontal cortex
RES00002642	Brain - Hippocampus, M, 40-49	18	tissues	Brain	Hippocampus	M	40-49	UBERON_0001954	Ammon's horn
RES00002643	Brain - Anterior cingulate cortex (BA24), M, 40-49	22	tissues	Brain	Anterior cingulate cortex (BA24)	M	40-49	UBERON_0009835	anterior cingulate cortex
RES00002644	Brain - Caudate (basal ganglia), M, 40-49	20	tissues	Brain	Caudate (basal ganglia)	M	40-49	UBERON_0001873	caudate nucleus
RES00002645	Brain - Nucleus accumbens (basal ganglia), M, 40-49	20	tissues	Brain	Nucleus accumbens (basal ganglia)	M	40-49	UBERON_0001882	nucleus accumbens
RES00002646	Brain - Putamen (basal ganglia), M, 40-49	15	tissues	Brain	Putamen (basal ganglia)	M	40-49	UBERON_0001874	putamen
RES00002647	Skin - Sun Exposed (Lower leg), M, 40-49	76	tissues	Skin	Sun Exposed (Lower leg)	M	40-49	UBERON_0004264	lower leg skin
RES00002648	Adipose - Subcutaneous, M, 40-49	67	tissues	Adipose	Subcutaneous	M	40-49	UBERON_0002190	subcutaneous adipose tissue
RES00002649	Nerve - Tibial, M, 40-49	69	tissues	Nerve	Tibial	M	40-49	UBERON_0001323	tibial nerve
RES00002650	Artery - Tibial, M, 40-49	78	tissues	Artery	Tibial	M	40-49	UBERON_0007610	tibial artery
RES00002651	Breast - Mammary Tissue, M, 40-49	37	tissues	Breast	Mammary Tissue	M	40-49	UBERON_0008367	breast epithelium
RES00002652	Muscle - Skeletal, M, 40-49	100	tissues	Muscle	Skeletal	M	40-49	UBERON_0011907	gastrocnemius medialis
RES00002653	Skin - Not Sun Exposed (Suprapubic), M, 40-49	56	tissues	Skin	Not Sun Exposed (Suprapubic)	M	40-49	UBERON_0036149	suprapubic skin
RES00002654	Brain - Cerebellum, M, 40-49	22	tissues	Brain	Cerebellum	M	40-49	UBERON_0002037	cerebellum
RES00002655	Brain - Cortex, M, 40-49	24	tissues	Brain	Cortex	M	40-49	UBERON_0001870	frontal cortex
RES00002656	Pituitary, M, 40-49	21	tissues	Pituitary		M	40-49	UBERON_0000007	pituitary gland
RES00002657	Nerve - Tibial, F, 60-69	74	tissues	Nerve	Tibial	F	60-69	UBERON_0001323	tibial nerve
RES00002658	Brain - Cerebellar Hemisphere, M, 60-69	89	tissues	Brain	Cerebellar Hemisphere	M	60-69	UBERON_0002037	cerebellum
RES00002659	Brain - Caudate (basal ganglia), M, 60-69	99	tissues	Brain	Caudate (basal ganglia)	M	60-69	UBERON_0001873	caudate nucleus
RES00002660	Brain - Nucleus accumbens (basal ganglia), M, 60-69	92	tissues	Brain	Nucleus accumbens (basal ganglia)	M	60-69	UBERON_0001882	nucleus accumbens
RES00002661	Brain - Putamen (basal ganglia), M, 60-69	83	tissues	Brain	Putamen (basal ganglia)	M	60-69	UBERON_0001874	putamen
RES00002662	Brain - Hypothalamus, M, 60-69	85	tissues	Brain	Hypothalamus	M	60-69	UBERON_0001898	hypothalamus
RES00002663	Liver, M, 60-69	61	tissues	Liver		M	60-69	UBERON_0001114	right lobe of liver
RES00002664	Artery - Coronary, M, 60-69	47	tissues	Artery	Coronary	M	60-69	UBERON_0001621	coronary artery
RES00002665	Brain - Substantia nigra, M, 50-59	32	tissues	Brain	Substantia nigra	M	50-59	UBERON_0002038	substantia nigra
RES00002666	Brain - Anterior cingulate cortex (BA24), M, 50-59	38	tissues	Brain	Anterior cingulate cortex (BA24)	M	50-59	UBERON_0009835	anterior cingulate cortex
RES00002667	Brain - Hippocampus, M, 60-69	87	tissues	Brain	Hippocampus	M	60-69	UBERON_0001954	Ammon's horn
RES00002668	Cells - EBV-transformed lymphocytes, F, 20-29	10	primary cells	Cells	EBV-transformed lymphocytes	F	20-29	EFO_0000572	lymphoblast
RES00002669	Whole Blood, F, 20-29	122	tissues	Whole Blood		F	20-29	UBERON_0013756	venous blood
RES00002670	Thyroid, F, 20-29	24	tissues	Thyroid		F	20-29	UBERON_0002046	thyroid gland
RES00002671	Artery - Aorta, F, 20-29	15	tissues	Artery	Aorta	F	20-29	UBERON_0001496	ascending aorta
RES00002672	Adrenal Gland, F, 20-29	8	tissues	Adrenal Gland		F	20-29	UBERON_0002369	adrenal gland
RES00002673	Heart - Atrial Appendage, F, 20-29	5	tissues	Heart	Atrial Appendage	F	20-29	UBERON_0006631	right atrium auricular region
RES00002674	Artery - Coronary, F, 20-29	7	tissues	Artery	Coronary	F	20-29	UBERON_0001621	coronary artery
RES00002675	Heart - Left Ventricle, F, 20-29	22	tissues	Heart	Left Ventricle	F	20-29	UBERON_0006566	left ventricle myocardium
RES00002676	Esophagus - Muscularis, F, 20-29	23	tissues	Esophagus	Muscularis	F	20-29	UBERON_0004648	esophagus muscularis mucosa
RES00002677	Esophagus - Mucosa, F, 20-29	23	tissues	Esophagus	Mucosa	F	20-29	UBERON_0006920	esophagus squamous epithelium
RES00002678	Esophagus - Gastroesophageal Junction, F, 20-29	8	tissues	Esophagus	Gastroesophageal Junction	F	20-29	UBERON_0004550	gastroesophageal sphincter
RES00002679	Stomach, F, 20-29	17	tissues	Stomach		F	20-29	UBERON_0000945	stomach
RES00002680	Adipose - Visceral (Omentum), F, 20-29	16	tissues	Adipose	Visceral (Omentum)	F	20-29	UBERON_0010414	omental fat pad
RES00002681	Skin - Not Sun Exposed (Suprapubic), F, 20-29	14	tissues	Skin	Not Sun Exposed (Suprapubic)	F	20-29	UBERON_0036149	suprapubic skin
RES00002682	Breast - Mammary Tissue, F, 20-29	14	tissues	Breast	Mammary Tissue	F	20-29	UBERON_0008367	breast epithelium
RES00002683	Colon - Transverse, F, 20-29	17	tissues	Colon	Transverse	F	20-29	UBERON_0001157	transverse colon
RES00002684	Colon - Sigmoid, F, 20-29	13	tissues	Colon	Sigmoid	F	20-29	UBERON_0001159	sigmoid colon
RES00002685	Ovary, F, 20-29	22	tissues	Ovary		F	20-29	UBERON_0000992	ovary
RES00002686	Vagina, F, 20-29	18	tissues	Vagina		F	20-29	UBERON_0000996	vagina
RES00002687	Uterus, F, 20-29	23	tissues	Uterus		F	20-29	UBERON_0000995	uterus
RES00002688	Muscle - Skeletal, F, 20-29	35	tissues	Muscle	Skeletal	F	20-29	UBERON_0011907	gastrocnemius medialis
RES00002689	Artery - Tibial, F, 20-29	27	tissues	Artery	Tibial	F	20-29	UBERON_0007610	tibial artery
RES00002690	Adipose - Subcutaneous, F, 20-29	24	tissues	Adipose	Subcutaneous	F	20-29	UBERON_0002190	subcutaneous adipose tissue
RES00002691	Skin - Sun Exposed (Lower leg), F, 20-29	29	tissues	Skin	Sun Exposed (Lower leg)	F	20-29	UBERON_0004264	lower leg skin
RES00002692	Brain - Cerebellar Hemisphere, F, 60-69	35	tissues	Brain	Cerebellar Hemisphere	F	60-69	UBERON_0002037	cerebellum
RES00002693	Brain - Substantia nigra, F, 60-69	24	tissues	Brain	Substantia nigra	F	60-69	UBERON_0002038	substantia nigra
RES00002694	Brain - Hypothalamus, F, 60-69	38	tissues	Brain	Hypothalamus	F	60-69	UBERON_0001898	hypothalamus
RES00002695	Brain - Spinal cord (cervical c-1), F, 60-69	37	tissues	Brain	Spinal cord (cervical c-1)	F	60-69	UBERON_0006469	C1 segment of cervical spinal cord
RES00002696	Cells - EBV-transformed lymphocytes, M, 30-39	10	primary cells	Cells	EBV-transformed lymphocytes	M	30-39	EFO_0000572	lymphoblast
RES00002697	Whole Blood, M, 30-39	183	tissues	Whole Blood		M	30-39	UBERON_0013756	venous blood
RES00002698	Cells - Cultured fibroblasts, M, 30-39	24	primary cells	Cells	Cultured fibroblasts	M	30-39	EFO_0002009	fibroblast derived cell line
RES00002699	Adrenal Gland, M, 30-39	16	tissues	Adrenal Gland		M	30-39	UBERON_0002369	adrenal gland
RES00002700	Lung, M, 30-39	41	tissues	Lung		M	30-39	UBERON_0008952	upper lobe of left lung
RES00002701	Spleen, M, 30-39	23	tissues	Spleen		M	30-39	UBERON_0002106	spleen
RES00002702	Liver, M, 30-39	16	tissues	Liver		M	30-39	UBERON_0001114	right lobe of liver
RES00002703	Thyroid, M, 30-39	42	tissues	Thyroid		M	30-39	UBERON_0002046	thyroid gland
RES00002704	Esophagus - Mucosa, M, 30-39	42	tissues	Esophagus	Mucosa	M	30-39	UBERON_0006920	esophagus squamous epithelium
RES00002705	Esophagus - Muscularis, M, 30-39	37	tissues	Esophagus	Muscularis	M	30-39	UBERON_0004648	esophagus muscularis mucosa
RES00002706	Esophagus - Gastroesophageal Junction, M, 30-39	26	tissues	Esophagus	Gastroesophageal Junction	M	30-39	UBERON_0004550	gastroesophageal sphincter
RES00002707	Pancreas, M, 30-39	27	tissues	Pancreas		M	30-39	UBERON_0001150	body of pancreas
RES00002708	Adipose - Visceral (Omentum), M, 30-39	31	tissues	Adipose	Visceral (Omentum)	M	30-39	UBERON_0010414	omental fat pad
RES00002709	Stomach, M, 30-39	26	tissues	Stomach		M	30-39	UBERON_0000945	stomach
RES00002710	Small Intestine - Terminal Ileum, M, 30-39	13	tissues	Small Intestine	Terminal Ileum	M	30-39	UBERON_0001211	Peyer's patch
RES00002711	Colon - Transverse, M, 30-39	33	tissues	Colon	Transverse	M	30-39	UBERON_0001157	transverse colon
RES00002712	Colon - Sigmoid, M, 30-39	25	tissues	Colon	Sigmoid	M	30-39	UBERON_0001159	sigmoid colon
RES00002713	Skin - Not Sun Exposed (Suprapubic), M, 30-39	38	tissues	Skin	Not Sun Exposed (Suprapubic)	M	30-39	UBERON_0036149	suprapubic skin
RES00002714	Prostate, M, 30-39	28	tissues	Prostate		M	30-39	UBERON_0002367	prostate gland
RES00002715	Breast - Mammary Tissue, M, 30-39	33	tissues	Breast	Mammary Tissue	M	30-39	UBERON_0008367	breast epithelium
RES00002716	Testis, M, 30-39	35	tissues	Testis		M	30-39	UBERON_0000473	testis
RES00002717	Minor Salivary Gland, M, 30-39	12	tissues	Minor Salivary Gland		M	30-39	UBERON_0006330	anterior lingual gland
RES00002718	Muscle - Skeletal, M, 30-39	69	tissues	Muscle	Skeletal	M	30-39	UBERON_0011907	gastrocnemius medialis
RES00002719	Artery - Tibial, M, 30-39	50	tissues	Artery	Tibial	M	30-39	UBERON_0007610	tibial artery
RES00002720	Nerve - Tibial, M, 30-39	44	tissues	Nerve	Tibial	M	30-39	UBERON_0001323	tibial nerve
RES00002721	Skin - Sun Exposed (Lower leg), M, 30-39	49	tissues	Skin	Sun Exposed (Lower leg)	M	30-39	UBERON_0004264	lower leg skin
RES00002722	Adipose - Subcutaneous, M, 30-39	46	tissues	Adipose	Subcutaneous	M	30-39	UBERON_0002190	subcutaneous adipose tissue
RES00002723	Brain - Substantia nigra, M, 60-69	64	tissues	Brain	Substantia nigra	M	60-69	UBERON_0002038	substantia nigra
RES00002724	Kidney - Cortex, M, 60-69	31	tissues	Kidney	Cortex	M	60-69	UBERON_0001225	cortex of kidney
RES00002725	Brain - Anterior cingulate cortex (BA24), M, 60-69	76	tissues	Brain	Anterior cingulate cortex (BA24)	M	60-69	UBERON_0009835	anterior cingulate cortex
RES00002726	Brain - Hippocampus, F, 60-69	32	tissues	Brain	Hippocampus	F	60-69	UBERON_0001954	Ammon's horn
RES00002727	Brain - Anterior cingulate cortex (BA24), F, 60-69	32	tissues	Brain	Anterior cingulate cortex (BA24)	F	60-69	UBERON_0009835	anterior cingulate cortex
RES00002728	Brain - Caudate (basal ganglia), F, 60-69	42	tissues	Brain	Caudate (basal ganglia)	F	60-69	UBERON_0001873	caudate nucleus
RES00002729	Brain - Nucleus accumbens (basal ganglia), F, 60-69	40	tissues	Brain	Nucleus accumbens (basal ganglia)	F	60-69	UBERON_0001882	nucleus accumbens
RES00002730	Brain - Putamen (basal ganglia), F, 60-69	32	tissues	Brain	Putamen (basal ganglia)	F	60-69	UBERON_0001874	putamen
RES00002731	Liver, F, 60-69	25	tissues	Liver		F	60-69	UBERON_0001114	right lobe of liver
RES00002732	Cells - EBV-transformed lymphocytes, F, 50-59	21	primary cells	Cells	EBV-transformed lymphocytes	F	50-59	EFO_0000572	lymphoblast
RES00002733	Lung, F, 50-59	74	tissues	Lung		F	50-59	UBERON_0008952	upper lobe of left lung
RES00002734	Pancreas, F, 50-59	48	tissues	Pancreas		F	50-59	UBERON_0001150	body of pancreas
