FANTOM5_Sample_ID	Characteristics [description]	Sample types category	Experiments category	Chracteristics [Species]	Characteristics [Sex]	Characteristics [Age]	Unit[Age]	Characteristics [Developmental stage]	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
10059-101H5	tongue, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	32	week	fetus	UBERON:0001723	tongue	NA	NA	NA	NA
10060-101H6	thyroid, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	36	week	fetus	UBERON:0002046	thyroid gland	NA	NA	NA	NA
10061-101H7	throat, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	25	week	fetus	UBERON:0000341	throat	NA	NA	NA	NA
10062-101H8	stomach, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	40	week	fetus	UBERON:0000945	stomach	NA	NA	NA	NA
10063-101H9	temporal lobe, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	22	week	fetus	UBERON:0001871	temporal lobe	NA	NA	NA	NA
10064-101I1	small intestine, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	16	week	fetus	UBERON:0002108	small intestine	NA	NA	NA	NA
10065-101I2	skin, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	26	week	fetus	UBERON:0002097	skin of body	NA	NA	NA	NA
10066-101I3	skeletal muscle, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	22	week	fetus	UBERON:0001134	skeletal muscle tissue	NA	NA	NA	NA
10067-101I4	rectum, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	19	week	fetus	UBERON:0001052	rectum	NA	NA	NA	NA
10068-101I5	lung, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	40	week	fetus	UBERON:0002048	lung	NA	NA	NA	NA
10069-101I6	diaphragm, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	36	week	fetus	UBERON:0001103	diaphragm	NA	NA	NA	NA
10070-101I7	colon, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	37	week	fetus	UBERON:0001155	colon	NA	NA	NA	NA
10071-101I8	duodenum, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	36	week	fetus	UBERON:0002114	duodenum	NA	NA	NA	NA
10072-101I9	parietal lobe, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	female	20	week	fetus	UBERON:0001872	parietal lobe	NA	NA	NA	NA
10073-102A1	occipital lobe, fetal, donor1	tissues	snapshot	Human (Homo sapiens)	male	22	week	fetus	UBERON:0002021	occipital lobe	NA	NA	NA	NA
10074-102A2	skin, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0002097	skin of body	NA	NA	NA	NA
10075-102A3	lung, right lower lobe, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	29	year	adult	UBERON:0002048	lung	NA	NA	NA	NA
10076-102A4	occipital lobe, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	27	year	adult	UBERON:0002021	occipital lobe	NA	NA	NA	NA
10077-102A5	lymph node, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	30	year	adult	UBERON:0000029	lymph node	NA	NA	NA	NA
10078-102A6	left ventricle, adult, donor1	tissues	snapshot	Human (Homo sapiens)	female	73	year	adult	UBERON:0002084	heart left ventricle	NA	NA	NA	NA
10079-102A7	left atrium, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	40	year	adult	UBERON:0002079	left cardiac atrium	NA	NA	NA	NA
10080-102A8	breast, adult, donor1	tissues	snapshot	Human (Homo sapiens)	female	77	year	adult	UBERON:0000310	breast	NA	NA	NA	NA
10081-102A9	adrenal gland, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	15-61	year	adult	UBERON:0002369	adrenal gland	NA	NA	NA	NA
10082-102B1	colon, adult, donor1	tissues	snapshot	Human (Homo sapiens)	female	23	year	adult	UBERON:0001155	colon	NA	NA	NA	NA
10083-102B2	cerebellum, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-68	year	adult	UBERON:0002037	cerebellum	NA	NA	NA	NA
10084-102B3	brain, adult, donor1	tissues	snapshot	Human (Homo sapiens)	male	18	year	adult	UBERON:0000955	brain	NA	NA	NA	NA
10085-102B4	brain, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	20-33	week	fetus	UBERON:0000955	brain	NA	NA	NA	NA
10086-102B5	liver, fetal, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	22-40	week	fetus	UBERON:0002107	liver	NA	NA	NA	NA
10093-102C3	salivary gland, adult, pool1	tissues	snapshot	Human (Homo sapiens)	mixed	16-60	year	adult	UBERON:0001044	saliva-secreting gland	NA	NA	NA	NA
10096-102C6	testis, adult, pool2	tissues	snapshot	Human (Homo sapiens)	male	14-64	year	adult	UBERON:0000473	testis	NA	NA	NA	NA
10100-102D1	uterus, adult, pool1	tissues	snapshot	Human (Homo sapiens)	female	23-63	year	adult	UBERON:0000995	uterus	NA	NA	NA	NA
10150-102I6	medial frontal gyrus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002702	middle frontal gyrus	NA	NA	NA	NA
10151-102I7	amygdala, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001876	amygdala	NA	NA	NA	NA
10152-102I8	putamen, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001874	putamen	NA	NA	NA	NA
10153-102I9	hippocampus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002421	hippocampal formation	NA	NA	NA	NA
10154-103A1	thalamus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001897	dorsal plus ventral thalamus	NA	NA	NA	NA
10155-103A2	medulla oblongata, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001896	medulla oblongata	NA	NA	NA	NA
10156-103A3	medial temporal gyrus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002771	middle temporal gyrus	NA	NA	NA	NA
10157-103A4	parietal lobe, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001872	parietal lobe	NA	NA	NA	NA
10158-103A5	substantia nigra, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002038	substantia nigra	NA	NA	NA	NA
10159-103A6	spinal cord, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002240	spinal cord	NA	NA	NA	NA
10160-103A7	pineal gland, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001905	pineal body	NA	NA	NA	NA
10161-103A8	globus pallidus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001875	globus pallidus	NA	NA	NA	NA
10162-103A9	pituitary gland, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0000007	pituitary gland	NA	NA	NA	NA
10163-103B1	occipital cortex, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0016540	occipital cortex	NA	NA	NA	NA
10164-103B2	caudate nucleus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0001873	caudate nucleus	NA	NA	NA	NA
10165-103B3	locus coeruleus, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002148	locus ceruleus	NA	NA	NA	NA
10166-103B4	cerebellum, adult, donor10252	tissues	snapshot	Human (Homo sapiens)	female	76	year	adult	UBERON:0002037	cerebellum	NA	NA	NA	NA
10167-103B5	amygdala - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001876	amygdala	NA	NA	NA	NA
10168-103B6	thalamus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001897	dorsal plus ventral thalamus	NA	NA	NA	NA
10169-103B7	hippocampus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002421	hippocampal formation	NA	NA	NA	NA
10170-103B8	medial frontal gyrus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002702	middle frontal gyrus	NA	NA	NA	NA
10171-103B9	parietal lobe - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001872	parietal lobe	NA	NA	NA	NA
10172-103C1	occipital cortex - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0016540	occipital cortex	NA	NA	NA	NA
10173-103C2	cerebellum - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002037	cerebellum	NA	NA	NA	NA
10174-103C3	medulla oblongata - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001896	medulla oblongata	NA	NA	NA	NA
10175-103C4	globus pallidus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001875	globus pallidus	NA	NA	NA	NA
10176-103C5	putamen, adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001874	putamen	NA	NA	NA	NA
10177-103C6	caudate nucleus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001873	caudate nucleus	NA	NA	NA	NA
10178-103C7	substantia nigra - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002038	substantia nigra	NA	NA	NA	NA
10179-103C8	pineal gland - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0001905	pineal body	NA	NA	NA	NA
10180-103C9	pituitary gland - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0000007	pituitary gland	NA	NA	NA	NA
10181-103D1	spinal cord - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002240	spinal cord	NA	NA	NA	NA
10182-103D2	locus coeruleus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002148	locus ceruleus	NA	NA	NA	NA
10183-103D3	medial temporal gyrus - adult, donor10196	tissues	snapshot	Human (Homo sapiens)	female	60	year	adult	UBERON:0002771	middle temporal gyrus	NA	NA	NA	NA
10184-103D4	adipose, donor1	tissues	snapshot	Human (Homo sapiens)	female	43	year	adult	UBERON:0001013	adipose tissue	NA	NA	NA	NA
10185-103D5	adipose, donor2	tissues	snapshot	Human (Homo sapiens)	female	42	year	adult	UBERON:0001013	adipose tissue	NA	NA	NA	NA
10186-103D6	adipose, donor3	tissues	snapshot	Human (Homo sapiens)	female	64	year	adult	UBERON:0001013	adipose tissue	NA	NA	NA	NA
10187-103D7	adipose, donor4	tissues	snapshot	Human (Homo sapiens)	female	28	year	adult	UBERON:0001013	adipose tissue	NA	NA	NA	NA
10188-103D8	cerebral meninges, adult	tissues	snapshot	Human (Homo sapiens)	male	66	year	adult	UBERON:0010743	meningeal cluster	NA	NA	NA	NA
10189-103D9	appendix, adult	tissues	snapshot	Human (Homo sapiens)	male	29	year	adult	UBERON:0001154	vermiform appendix	NA	NA	NA	NA
10190-103E1	artery, adult	tissues	snapshot	Human (Homo sapiens)	male	27	year	adult	UBERON:0001637	artery	NA	NA	NA	NA
10191-103E2	vein, adult	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0001638	vein	NA	NA	NA	NA
10192-103E3	bone marrow, adult	tissues	snapshot	Human (Homo sapiens)	male	27	year	adult	UBERON:0002371	bone marrow	NA	NA	NA	NA
10193-103E4	diencephalon, adult	tissues	snapshot	Human (Homo sapiens)	male	26	year	adult	UBERON:0001894	diencephalon	NA	NA	NA	NA
10195-103E6	olfactory region, adult	tissues	snapshot	Human (Homo sapiens)	female	87	year	adult	UBERON:0003112	olfactory region	NA	NA	NA	NA
10196-103E7	ductus deferens, adult	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0001000	vas deferens	NA	NA	NA	NA
10197-103E8	epididymis, adult	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0001301	epididymis	NA	NA	NA	NA
10198-103E9	gall bladder, adult	tissues	snapshot	Human (Homo sapiens)	male	57	year	adult	UBERON:0002110	gall bladder	NA	NA	NA	NA
10199-103F1	parotid gland, adult	tissues	snapshot	Human (Homo sapiens)	male	23	year	adult	UBERON:0001831	parotid gland	NA	NA	NA	NA
10200-103F2	penis, adult	tissues	snapshot	Human (Homo sapiens)	male	29	year	adult	UBERON:0000989	penis	NA	NA	NA	NA
10201-103F3	seminal vesicle, adult	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0000998	seminal vesicle	NA	NA	NA	NA
10202-103F4	submaxillary gland, adult	tissues	snapshot	Human (Homo sapiens)	male	24	year	adult	UBERON:0001736	submandibular gland	NA	NA	NA	NA
10203-103F5	tongue, adult	tissues	snapshot	Human (Homo sapiens)	male	28	year	adult	UBERON:0001723	tongue	NA	NA	NA	NA
10204-103F6	vagina, adult	tissues	snapshot	Human (Homo sapiens)	female	68	year	adult	UBERON:0000996	vagina	NA	NA	NA	NA
10205-103F7	heart - mitral valve, adult	tissues	snapshot	Human (Homo sapiens)	male	41	year	adult	UBERON:0002135	mitral valve	NA	NA	NA	NA
10206-103F8	heart - pulmonic valve, adult	tissues	snapshot	Human (Homo sapiens)	male	26	year	adult	UBERON:0002146	pulmonary valve	NA	NA	NA	NA
10207-103F9	heart - tricuspid valve, adult	tissues	snapshot	Human (Homo sapiens)	male	77	year	adult	UBERON:0002134	tricuspid valve	NA	NA	NA	NA
10209-103G2	throat, adult	tissues	snapshot	Human (Homo sapiens)	male	28	year	adult	UBERON:0000341	throat	NA	NA	NA	NA
10268-104D7	eye - vitreous humor, donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001797	vitreous humor	NA	NA	NA	NA
10272-104E2	eye - muscle inferior rectus, donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0006322	inferior rectus extraocular muscle	NA	NA	NA	NA
10277-104E7	optic nerve, donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000941	cranial nerve II	NA	NA	NA	NA
10282-104F3	skeletal muscle - soleus muscle, donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001389	soleus muscle	NA	NA	NA	NA
10286-104F7	Skin - palm, donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0013777	skin of palm of manus	NA	NA	NA	NA
10288-104F9	tongue epidermis (fungiform papillae), donor1	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0002448	fungiform papillae	NA	NA	NA	NA
10292-104G4	achilles tendon, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0003701	calcaneal tendon	NA	NA	NA	NA
10294-104G6	cerebrospinal fluid, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001359	cerebrospinal fluid	NA	NA	NA	NA
10295-104G7	cruciate ligament, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0006659	cruciate ligament of knee	NA	NA	NA	NA
10297-104G9	eye - muscle superior, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0006321	superior oblique extraocular muscle	NA	NA	NA	NA
10298-104H1	eye - muscle lateral, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001603	lateral rectus extra-ocular muscle	NA	NA	NA	NA
10299-104H2	eye - muscle medial, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001602	medial rectus extraocular muscle	NA	NA	NA	NA
10301-104H4	Fingernail (including nail plate, eponychium and hyponychium), donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0001705	nail	NA	NA	NA	NA
10319-105A4	Urethra, donor2	tissues	snapshot	Human (Homo sapiens)	male	NA	NA	NA	UBERON:0000057	urethra	NA	NA	NA	NA
10352-105E1	medial frontal gyrus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002702	middle frontal gyrus	NA	NA	NA	NA
10353-105E2	medial temporal gyrus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002771	middle temporal gyrus	NA	NA	NA	NA
10354-105E3	caudate nucleus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001873	caudate nucleus	NA	NA	NA	NA
10355-105E4	occipital cortex, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0016540	occipital cortex	NA	NA	NA	NA
10356-105E5	parietal lobe, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001872	parietal lobe	NA	NA	NA	NA
10357-105E6	cerebellum, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002037	cerebellum	NA	NA	NA	NA
10358-105E7	substantia nigra, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002038	substantia nigra	NA	NA	NA	NA
10359-105E8	spinal cord, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002240	spinal cord	NA	NA	NA	NA
10360-105E9	amygdala, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001876	amygdala	NA	NA	NA	NA
10361-105F1	medulla oblongata, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001896	medulla oblongata	NA	NA	NA	NA
10362-105F2	locus coeruleus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002148	locus ceruleus	NA	NA	NA	NA
10363-105F3	hippocampus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0002421	hippocampal formation	NA	NA	NA	NA
10364-105F4	globus pallidus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001875	globus pallidus	NA	NA	NA	NA
10365-105F5	putamen, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001874	putamen	NA	NA	NA	NA
10366-105F6	thalamus, newborn, donor10223	tissues	snapshot	Human (Homo sapiens)	male	0	year	neonate	UBERON:0001897	dorsal plus ventral thalamus	NA	NA	NA	NA
10367-105F7	globus pallidus, adult, donor10258	tissues	snapshot	Human (Homo sapiens)	female	NA	NA	adult	UBERON:0001875	globus pallidus	NA	NA	NA	NA
10368-105F8	medial frontal gyrus, adult, donor10258	tissues	snapshot	Human (Homo sapiens)	female	89	year	adult	UBERON:0002702	middle frontal gyrus	NA	NA	NA	NA
10369-105F9	spinal cord, adult, donor10258	tissues	snapshot	Human (Homo sapiens)	female	89	year	adult	UBERON:0002240	spinal cord	NA	NA	NA	NA
