RefEx Sample ID	Description	Number of samples	Sample type category	Experiment category	UBERON ID	UBERON label	CL ID	CL label	NCIT ID	NCIT label
RES00001671	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 60hr00min	3	cell lines	time courses	UBERON:0001782	pigmented layer of retina	CL:0002586	retinal pigment epithelial cell	NA	NA
RES00001672	Adipocyte - breast	2	primary cells	snapshot	UBERON:0000310	breast	CL:0002617	adipocyte of breast	NA	NA
RES00001673	Adipocyte - omental	3	primary cells	snapshot	UBERON:0003688	omentum	CL:0002615	adipocyte of omentum tissue	NA	NA
RES00001674	Adipocyte - perirenal	1	primary cells	snapshot	UBERON:0005406	perirenal fat	CL:0002616	perirenal adipocyte cell	NA	NA
RES00001675	Adipocyte - subcutaneous	3	primary cells	snapshot	UBERON:0002190	subcutaneous adipose tissue	CL:0002521	subcutaneous fat cell	NA	NA
RES00001676	Adipocyte differentiation, day04	4	primary cells	time courses	UBERON:0001013	adipose tissue	CL:0000136	fat cell	NA	NA
RES00001677	Adipocyte differentiation, day08	4	primary cells	time courses	UBERON:0001013	adipose tissue	CL:0000136	fat cell	NA	NA
RES00001678	Adipocyte differentiation, day12	4	primary cells	time courses	UBERON:0001013	adipose tissue	CL:0000136	fat cell	NA	NA
RES00001679	Alveolar Epithelial Cells	3	primary cells	snapshot	UBERON:0002299	alveolus of lung	CL:0000322	pneumocyte	NA	NA
RES00001680	Amniotic Epithelial Cells	3	primary cells	snapshot	UBERON:0000305	amnion	CL:0002536	epithelial cell of amnion	NA	NA
RES00001681	Anulus Pulposus Cell	2	primary cells	snapshot	UBERON:0004715	annulus fibrosus disci intervertebralis	CL:0002602	annulus pulposus cell	NA	NA
RES00001682	Aortic smooth muscle cell response to FGF2, 00hr00min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001683	Aortic smooth muscle cell response to FGF2, 00hr15min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001684	Aortic smooth muscle cell response to FGF2, 00hr30min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001685	Aortic smooth muscle cell response to FGF2, 00hr45min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001686	Aortic smooth muscle cell response to FGF2, 01hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001687	Aortic smooth muscle cell response to FGF2, 02hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001688	Aortic smooth muscle cell response to FGF2, 03hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001689	Aortic smooth muscle cell response to FGF2, 04hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001690	Aortic smooth muscle cell response to FGF2, 05hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001691	Aortic smooth muscle cell response to FGF2, 06hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001692	Aortic smooth muscle cell response to IL1b, 00hr00min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001693	Aortic smooth muscle cell response to IL1b, 00hr15min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001694	Aortic smooth muscle cell response to IL1b, 00hr30min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001695	Aortic smooth muscle cell response to IL1b, 00hr45min	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001696	Aortic smooth muscle cell response to IL1b, 01hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001697	Aortic smooth muscle cell response to IL1b, 02hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001698	Aortic smooth muscle cell response to IL1b, 03hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001699	Aortic smooth muscle cell response to IL1b, 04hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001700	Aortic smooth muscle cell response to IL1b, 05hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001701	Aortic smooth muscle cell response to IL1b, 06hr	3	primary cells	time courses	UBERON:0004178	aorta smooth muscle tissue	CL:0002539	aortic smooth muscle cell	NA	NA
RES00001702	Astrocyte - cerebellum	3	primary cells	snapshot	UBERON:0002037	cerebellum	CL:0002603	astrocyte of the cerebellum	NA	NA
RES00001703	Astrocyte - cerebral cortex	3	primary cells	snapshot	UBERON:0000956	cerebral cortex	CL:0002605	astrocyte of the cerebral cortex	NA	NA
RES00001704	B lymphoblastoid cell line: GM12878 ENCODE	3	cell lines	snapshot	UBERON:0000178	blood	CL:0000945	lymphocyte of B lineage	NA	NA
RES00001705	Basophils	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000767	basophil	NA	NA
RES00001706	Bronchial Epithelial Cell	7	primary cells	snapshot	UBERON:0002185	bronchus	CL:0002328	bronchial epithelial cell	NA	NA
RES00001707	Burkitt's lymphoma cell line:DAUDI	1	cell lines	snapshot	UBERON:0000178	blood	CL:0000236	B cell	NCIT:C27694	Epstein-Barr virus-related Burkitt lymphoma
RES00001708	Burkitt's lymphoma cell line:RAJI	1	cell lines	snapshot	UBERON:0000178	blood	CL:0000236	B cell	NCIT:C27694	Epstein-Barr virus-related Burkitt lymphoma
RES00001709	CD133+ stem cells - adult bone marrow derived	1	primary cells	snapshot	UBERON:0002371	bone marrow	CL:0000034	stem cell	NA	NA
RES00001710	CD133+ stem cells - cord blood derived	1	primary cells	snapshot	UBERON:0012168	umbilical cord blood	CL:2000095	cord blood hematopoietic stem cell	NA	NA
RES00001711	CD14+ Monocytes	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001712	CD14+ monocyte derived endothelial progenitor cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002619	adult endothelial progenitor cell	NA	NA
RES00001713	CD14+ monocytes - mock treated	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001714	CD14+ monocytes - treated with B-glucan	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001715	CD14+ monocytes - treated with BCG	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001716	CD14+ monocytes - treated with Candida	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001717	CD14+ monocytes - treated with Cryptococcus	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001718	CD14+ monocytes - treated with Group A streptococci	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001719	CD14+ monocytes - treated with IFN + N-hexane	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001720	CD14+ monocytes - treated with Salmonella	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001721	CD14+ monocytes - treated with Trehalose dimycolate (TDM)	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001722	CD14+ monocytes - treated with lipopolysaccharide	3	primary cells	snapshot	UBERON:0000178	blood	CL:0001054	CD14-positive monocyte	NA	NA
RES00001723	CD14+CD16+ Monocytes	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002397	CD14-positive, CD16-positive monocyte	NA	NA
RES00001724	CD14+CD16- Monocytes	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002057	CD14-positive, CD16-negative classical monocyte	NA	NA
RES00001725	CD14-CD16+ Monocytes	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002396	CD14-low, CD16-positive monocyte	NA	NA
RES00001726	CD19+ B Cells (pluriselect)	8	primary cells	snapshot	UBERON:0000178	blood	CL:0000236	B cell	NA	NA
RES00001727	CD19+ B Cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000236	B cell	NA	NA
RES00001728	CD34 cells differentiated to erythrocyte lineage	2	primary cells	snapshot	UBERON:0000178	blood	CL:0000232	erythrocyte	NA	NA
RES00001729	CD34+ Progenitors	2	primary cells	snapshot	UBERON:0000178	blood	CL:0000034	stem cell	NA	NA
RES00001730	CD34+ stem cells - adult bone marrow derived	2	primary cells	snapshot	UBERON:0002371	bone marrow	CL:0000034	stem cell	NA	NA
RES00001731	CD4+ T Cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000624	CD4-positive, alpha-beta T cell	NA	NA
RES00001732	CD4+CD25+CD45RA+ naive regulatory T cells expanded	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002677	naive regulatory T cell	NA	NA
RES00001733	CD4+CD25+CD45RA+ naive regulatory T cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002677	naive regulatory T cell	NA	NA
RES00001734	CD4+CD25+CD45RA- memory regulatory T cells expanded	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002678	memory regulatory T cell	NA	NA
RES00001735	CD4+CD25+CD45RA- memory regulatory T cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0002678	memory regulatory T cell	NA	NA
RES00001736	CD4+CD25-CD45RA+ naive conventional T cells expanded	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	NA	NA
RES00001737	CD4+CD25-CD45RA+ naive conventional T cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	NA	NA
RES00001738	CD4+CD25-CD45RA- memory conventional T cells expanded	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000905	effector memory CD4-positive, alpha-beta T cell	NA	NA
RES00001739	CD4+CD25-CD45RA- memory conventional T cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000905	effector memory CD4-positive, alpha-beta T cell	NA	NA
RES00001740	CD8+ T Cells (pluriselect)	8	primary cells	snapshot	UBERON:0000178	blood	CL:0000625	CD8-positive, alpha-beta T cell	NA	NA
RES00001741	CD8+ T Cells	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000625	CD8-positive, alpha-beta T cell	NA	NA
RES00001742	COBL-a rinderpest infection, 00hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001743	COBL-a rinderpest infection, 06hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001744	COBL-a rinderpest infection, 12hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001745	COBL-a rinderpest infection, 24hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001746	COBL-a rinderpest infection, 48hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001747	COBL-a rinderpest(-C) infection, 06hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001748	COBL-a rinderpest(-C) infection, 12hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001749	COBL-a rinderpest(-C) infection, 24hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001750	COBL-a rinderpest(-C) infection, 48hr	3	cell lines	time courses	UBERON:0012168	umbilical cord blood	CL:0000081	blood cell	NA	NA
RES00001751	Cardiac Myocyte	3	primary cells	snapshot	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle cell	NA	NA
RES00001752	Chondrocyte - de diff	3	primary cells	snapshot	UBERON:0002418	cartilage tissue	CL:0000138	chondrocyte	NA	NA
RES00001753	Chondrocyte - re diff	2	primary cells	snapshot	UBERON:0002418	cartilage tissue	CL:0000138	chondrocyte	NA	NA
RES00001754	Ciliary Epithelial Cells	3	primary cells	snapshot	UBERON:0000970	eye	CL:0000067	ciliated epithelial cell	NA	NA
RES00001755	Clontech Human Universal Reference Total RNA	1	tissues	snapshot	NA	NA	NA	NA	NA	NA
RES00001756	Corneal Epithelial Cells	3	primary cells	snapshot	UBERON:0000964	cornea	CL:0000575	corneal epithelial cell	NA	NA
RES00001757	Dendritic Cells - monocyte immature derived	4	primary cells	snapshot	UBERON:0000178	blood	CL:0000840	immature conventional dendritic cell	NA	NA
RES00001758	Dendritic Cells - plasmacytoid	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000784	plasmacytoid dendritic cell	NA	NA
RES00001759	Endothelial Cells - Aortic	4	primary cells	snapshot	UBERON:0000947	aorta	CL:0002544	aortic endothelial cell	NA	NA
RES00001760	Endothelial Cells - Artery	3	primary cells	snapshot	UBERON:0001637	artery	CL:1000413	endothelial cell of artery	NA	NA
RES00001761	Endothelial Cells - Lymphatic	3	primary cells	snapshot	UBERON:0001473	lymphatic vessel	CL:0002138	endothelial cell of lymphatic vessel	NA	NA
RES00001762	Endothelial Cells - Microvascular	3	primary cells	snapshot	UBERON:0008339	microvascular endothelium	CL:2000008	microvascular endothelial cell	NA	NA
RES00001763	Endothelial Cells - Thoracic	2	primary cells	snapshot	UBERON:0001515	thoracic aorta	CL:0002545	thoracic aorta endothelial cell	NA	NA
RES00001764	Endothelial Cells - Umbilical vein	3	primary cells	snapshot	UBERON:0002066	umbilical vein	CL:0002618	endothelial cell of umbilical vein	NA	NA
RES00001765	Endothelial Cells - Vein	3	primary cells	snapshot	UBERON:0001638	vein	CL:0002543	vein endothelial cell	NA	NA
RES00001766	Eosinophils	3	primary cells	snapshot	UBERON:0000178	blood	CL:0000771	eosinophil	NA	NA
RES00001767	Esophageal Epithelial Cells	3	primary cells	snapshot	UBERON:0001043	esophagus	CL:0002252	epithelial cell of esophagus	NA	NA
RES00001768	Ewing's sarcoma cell line:Hs 863.T	1	cell lines	snapshot	UBERON:0001474	bone element	CL:0011012	neural crest cell	NCIT:C4817	Ewing sarcoma
RES00001769	Fibroblast - Aortic Adventitial, cytoplasmic fraction	2	primary cells	fractionations	UBERON:0004664	aorta tunica adventitia	CL:0002547	fibroblast of the aortic adventitia	NA	NA
RES00001770	Fibroblast - Aortic Adventitial	3	primary cells	snapshot	UBERON:0004664	aorta tunica adventitia	CL:0002547	fibroblast of the aortic adventitia	NA	NA
RES00001771	Fibroblast - Aortic Adventitial, nuclear fraction	2	primary cells	fractionations	UBERON:0004664	aorta tunica adventitia	CL:0002547	fibroblast of the aortic adventitia	NA	NA
RES00001772	Fibroblast - Cardiac	6	primary cells	snapshot	UBERON:0000948	heart	CL:0002548	fibroblast of cardiac tissue	NA	NA
RES00001773	Fibroblast - Choroid Plexus	3	primary cells	snapshot	UBERON:0001886	choroid plexus	CL:0002549	fibroblast of choroid plexus	NA	NA
RES00001774	Fibroblast - Conjunctival	2	primary cells	snapshot	UBERON:0001811	conjunctiva	CL:0002550	fibroblast of the conjunctiva	NA	NA
RES00001775	Fibroblast - Dermal	6	primary cells	snapshot	UBERON:0002067	dermis	CL:0002551	fibroblast of dermis	NA	NA
RES00001776	Fibroblast - Gingival, control	7	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NA	NA
RES00001777	Fibroblast - Gingival, periodontitis	1	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NCIT:C34918	Periodontitis
RES00001778	Fibroblast - Gingival, GFH2	1	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	Orphanet:2026	Gingival fibromatosis-hypertrichosis syndrome
RES00001779	Fibroblast - Gingival, GFH3	1	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	Orphanet:2026	Gingival fibromatosis-hypertrichosis syndrome
RES00001780	Fibroblast - Gingival, aggressive periodontitis	2	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NCIT:C34918	Periodontitis
RES00001781	Fibroblast - Gingival, chronic periodontitis	1	primary cells	snapshot	UBERON:0001828	gingiva	CL:0002552	fibroblast of gingiva	NCIT:C34918	Periodontitis
RES00001782	Fibroblast - Lung	3	primary cells	snapshot	UBERON:0002048	lung	CL:0002553	fibroblast of lung	NA	NA
RES00001783	Fibroblast - Lymphatic	3	primary cells	snapshot	UBERON:0001473	lymphatic vessel	CL:0002554	fibroblast of lymphatic vessel	NA	NA
RES00001784	Fibroblast - Mammary	3	primary cells	snapshot	UBERON:0001911	mammary gland	CL:0002555	fibroblast of mammary gland	NA	NA
RES00001785	Fibroblast - Periodontal Ligament	6	primary cells	snapshot	UBERON:0008266	periodontal ligament	CL:0002556	fibroblast of periodontium	NA	NA
RES00001786	Fibroblast - Pulmonary Artery	1	primary cells	snapshot	UBERON:0002012	pulmonary artery	CL:0002557	fibroblast of pulmonary artery	NA	NA
RES00001787	Fibroblast - Villous Mesenchymal	3	primary cells	snapshot	UBERON:0001987	placenta	CL:0002558	fibroblast of villous mesenchyme	NA	NA
RES00001788	Fibroblast - skin dystrophia myotonica, nuclear fraction	2	primary cells	fractionations	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NCIT:C84914	Myotonic Dystrophy
RES00001789	Fibroblast - skin dystrophia myotonica	3	primary cells	snapshot	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NCIT:C84914	Myotonic Dystrophy
RES00001790	Fibroblast - skin normal, nuclear fraction	2	primary cells	fractionations	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NA	NA
RES00001791	Fibroblast - skin normal	2	primary cells	snapshot	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NA	NA
RES00001792	Fibroblast - skin spinal muscular atrophy, nuclear fraction	2	primary cells	fractionations	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NCIT:C85075	Spinal Muscular Atrophy
RES00001793	Fibroblast - skin spinal muscular atrophy	3	primary cells	snapshot	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NCIT:C85075	Spinal Muscular Atrophy
RES00001794	Fibroblast - skin walker warburg	1	primary cells	snapshot	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NCIT:C99109	Walker-Warburg Syndrome
RES00001795	Fibroblast - skin normal, cytoplasmic fraction	2	primary cells	fractionations	UBERON:0002097	skin of body	CL:0002620	skin fibroblast	NA	NA
RES00001796	Fingernail (including nail plate, eponychium and hyponychium)	1	tissues	snapshot	UBERON:0001705	nail	NA	NA	NA	NA
RES00001797	Gingival epithelial cells	3	primary cells	snapshot	UBERON:0001949	gingival epithelium	CL:0002621	gingival epithelial cell	NA	NA
RES00001798	H1 embryonic stem cells differentiation to CD34+ HSC, day00	3	stem cells	time courses	NA	NA	CL:0002322	embryonic stem cell	NA	NA
RES00001799	H1 embryonic stem cells differentiation to CD34+ HSC, day03	3	stem cells	time courses	NA	NA	CL:0000034	stem cell	NA	NA
RES00001800	H1 embryonic stem cells differentiation to CD34+ HSC, day09	3	stem cells	time courses	NA	NA	CL:0000034	stem cell	NA	NA
RES00001801	H9 Embryoid body cells, melanocytic induction, day00	3	stem cells	time courses	UBERON:0014374	embryoid body	CL:0002322	embryonic stem cell	NA	NA
RES00001802	H9 Embryoid body cells, melanocytic induction, day01	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001803	H9 Embryoid body cells, melanocytic induction, day03	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001804	H9 Embryoid body cells, melanocytic induction, day06	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001805	H9 Embryoid body cells, melanocytic induction, day09	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001806	H9 Embryoid body cells, melanocytic induction, day12	5	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001807	H9 Embryoid body cells, melanocytic induction, day15	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001808	H9 Embryoid body cells, melanocytic induction, day18	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001809	H9 Embryoid body cells, melanocytic induction, day21	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001810	H9 Embryoid body cells, melanocytic induction, day24	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001811	H9 Embryoid body cells, melanocytic induction, day27	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001812	H9 Embryoid body cells, melanocytic induction, day30	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001813	H9 Embryoid body cells, melanocytic induction, day34	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001814	H9 Embryoid body cells, melanocytic induction, day41	3	stem cells	time courses	NA	NA	CL:0000148	melanocyte	NA	NA
RES00001815	H9 Embryonic Stem cells	3	stem cells	snapshot	NA	NA	CL:0002322	embryonic stem cell	NA	NA
RES00001816	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day00	3	stem cells	time courses	NA	NA	CL:0002322	embryonic stem cell	NA	NA
RES00001817	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day01	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001818	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day02	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001819	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day03	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001820	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day04	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001821	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day05	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
RES00001822	HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day06	3	stem cells	time courses	UBERON:0007100	primary circulatory organ	CL:0000746	cardiac muscle myoblast	NA	NA
